year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2005_2007,4,94.41,94.97,93.89,93.58,95.21
2005_2007,5,93.59,93.06,94.14,94.19,93.0
2005_2007,6,94.36,94.94,93.79,93.85,94.89
2005_2007,7,93.6,92.22,95.0,94.93,92.32
2005_2007,8,93.85,93.68,94.01,94.0,93.7
2005_2007,9,92.89,91.91,93.87,93.83,91.97
2008_2010,0,92.86,91.88,93.88,94.03,91.69
2008_2010,1,93.52,93.98,93.05,93.13,93.91
2008_2010,2,93.92,92.71,95.19,95.25,92.61
2008_2010,3,92.73,92.39,93.09,93.59,91.81
2008_2010,4,92.62,91.82,93.42,93.26,92.01
2008_2010,5,93.46,93.01,93.93,93.94,92.99
2008_2010,6,93.27,92.33,94.2,94.08,92.49
2008_2010,7,93.44,93.34,93.53,93.5,93.37
2008_2010,8,93.09,92.83,93.36,93.37,92.82
2008_2010,9,93.22,92.35,94.13,94.29,92.14
2011_2013,0,93.18,92.58,93.76,93.31,93.07
2011_2013,1,93.31,93.41,93.21,93.18,93.44
2011_2013,2,92.79,93.84,91.72,91.98,93.64
2011_2013,3,92.51,92.23,92.8,92.97,92.05
2011_2013,4,92.75,92.34,93.15,93.05,92.45
2011_2013,5,93.05,92.46,93.66,93.75,92.35
2011_2013,6,92.3,91.5,93.14,93.26,91.35
2011_2013,7,92.62,92.51,92.72,92.89,92.33
2011_2013,8,93.41,93.34,93.49,93.72,93.09
2011_2013,9,93.3,93.09,93.5,93.09,93.5
2014_2016,0,93.09,93.18,92.99,93.4,92.75
2014_2016,1,93.21,92.34,94.05,93.73,92.73
2014_2016,2,92.18,91.92,92.46,92.81,91.54
2014_2016,3,92.89,92.38,93.44,93.81,91.94
2014_2016,4,93.32,92.83,93.83,93.91,92.73
2014_2016,5,93.17,92.43,93.9,93.82,92.53
2014_2016,6,92.05,91.78,92.33,92.74,91.32
2014_2016,7,92.55,92.9,92.18,92.6,92.5
2014_2016,8,92.5,91.37,93.63,93.45,91.61
2014_2016,9,93.86,93.67,94.05,93.83,93.89
2017_2019,0,92.61,92.3,92.93,92.97,92.26
2017_2019,1,91.8,91.65,91.97,92.41,91.17
2017_2019,2,92.6,92.12,93.11,93.45,91.72
2017_2019,3,93.16,92.78,93.54,93.6,92.71
2017_2019,4,92.06,92.64,91.46,91.88,92.25
2017_2019,5,92.31,92.48,92.14,92.4,92.22
2017_2019,6,92.93,92.75,93.11,93.37,92.47
2017_2019,7,92.38,92.14,92.64,92.9,91.85
2017_2019,8,93.17,92.52,93.86,94.03,92.31
2017_2019,9,92.63,92.26,93.01,93.27,91.96
